# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_532	Duox1 (-1668), Duoxa1 (-311)
peak_533	Gatm (+103)
peak_534	Ctxn2 (-179)
peak_535	Adra1d (+469)
peak_536	Prokr2 (+420)
peak_537	Chgb (-411)
peak_538	Fermt1 (+367)
peak_539	Plcb1 (+330)
peak_540	Pak7 (+786)
peak_541	Ankef1 (-101)
peak_542	Bfsp1 (+641)
peak_543	Thbd (+753)
peak_544	Sdcbp2 (+2990), Snph (+56955)
peak_545	Snph (-226)
peak_546	Tmem74b (+320)
peak_547	Cox4i2 (-1150)
peak_548	Dusp15 (-11)
peak_549	Ttll9 (+236)
peak_550	Hck (-36384), Ccm2l (+6082)
peak_551	Myh7b (+2748), Trpc4ap (+78424)
peak_552	Mmp24 (+533)
peak_553	Myl9 (-20)
peak_554	Vstm2l (+228)
peak_555	Tgm2 (+538)
peak_556	Emilin3 (+337)
peak_557	L3mbtl1 (+408)
peak_558	Dbndd2 (-717)
peak_559	Cdh22 (+204)
peak_560	Tshz2 (-243)
peak_561	Cyp24a1 (+505)
peak_562	Dok5 (+24)
peak_563	Zfp931 (-64044), Phactr3 (-32880)
peak_564	Il7 (+802)
peak_565	Car13 (+267)
peak_566	Cyp7b1 (-60)
peak_567	Nlgn1 (+179161)
peak_568	Qrfpr (+135)
peak_569	Slc25a31 (-174)
peak_570	Pcdh18 (+231)
peak_571	Spg20 (+538)
peak_572	Erich6 (+850)
peak_573	Med12l (+486)
peak_574	Igsf10 (+312)
peak_575	Dhx36 (-96735), Gpr149 (+1401)
peak_576	Il12a (-116851), Schip1 (+509771)
peak_577	Sptssb (-755)
peak_578	Tmem144 (-58)
peak_579	Glrb (+208)
peak_580	Ctso (+238)
peak_581	Gucy1a3 (-63)
peak_582	Tmem154 (-3234)
peak_583	Mab21l2 (-371128), Dclk2 (+1441)
peak_584	Cd1d1 (+135)
peak_585	Pear1 (+439)
peak_586	Rhbg (+285)
peak_587	Pklr (+908)
peak_588	Efna1 (-149)
peak_589	Chtop (-4493), S100a13 (-444), S100a1 (+401)
peak_590	Lor (+2239), Pglyrp3 (+66320)
peak_591	Them4 (-113)
peak_592	Rorc (+526)
peak_593	Tdrkh (-251)
