# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_630	Timd4 (+100419)
peak_631	Sgcd (-88773)
peak_632	Sgcd (-414943)
peak_633	Rack1 (-77638)
peak_634	Olfr1393 (-16621)
peak_635	Jade2 (-40527)
peak_636	Irf1 (+25041)
peak_637	Cdc42se2 (-8842)
peak_638	Cdc42se2 (-19305)
peak_639	Glra1 (-62745)
peak_640	Nmur2 (-162715)
peak_641	Gria1 (-279743)
peak_642	Gria1 (-204623)
peak_643	Fam114a2 (+172745)
peak_644	Obscn (+42362)
peak_645	Obscn (+11562)
peak_646	Gm10428 (-2231)
peak_647	Zfp286 (-14572)
peak_648	Hs3st3b1 (+116953)
peak_649	Hs3st3a1 (-136976)
peak_650	Shisa6 (+65182)
peak_651	Myh13 (+43440)
peak_652	Myh10 (+60605)
peak_653	Gucy2e (-31737)
peak_654	Dnah2 (+56806)
peak_655	Dnah2 (+19532)
peak_656	Kif1c (+26577)
peak_657	Nlrp1b (-6652)
peak_658	Wscd1 (+70086)
peak_659	Olfr380 (-12378)
peak_660	Rtn4rl1 (+11379)
peak_661	Rtn4rl1 (+25865)
peak_662	Rtn4rl1 (+53221)
peak_663	Slc43a2 (+20343)
peak_664	Doc2b (-48008)
peak_665	Gm9964 (-10248)
peak_666	Rab11fip4 (+14119)
peak_667	Utp6 (+155573)
peak_668	Ccl9 (+10973)
peak_669	Dusp14 (+19994)
peak_670	Aatf (+99223)
peak_671	Lhx1 (-38537)
peak_672	Mrm1 (+110900)
peak_673	Ppm1d (-13605)
peak_674	Rnft1 (-16156)
peak_675	Epx (+6689)
peak_676	Ankfn1 (+26705)
peak_677	Pctp (+92491)
peak_678	Car10 (-404944)
peak_679	Utp18 (+147625)
peak_680	Utp18 (+90499)
peak_681	Tob1 (-35501)
peak_682	Cacna1g (+40184)
peak_683	Xylt2 (+7298)
peak_684	Ngfr (-23656)
peak_685	Zfp652 (-14230)
peak_686	Phospho1 (-14497)
peak_687	Snx11 (+17141)
peak_688	Fbxo47 (-19516)
peak_689	Stac2 (+10060)
peak_690	Grb7 (+38751)
peak_691	Itgb3 (+35935)
peak_692	Gm11639 (-28)
peak_693	Tanc2 (+121840)
peak_694	Pecam1 (+24385)
peak_695	Nol11 (-103308)
peak_696	Pitpnc1 (+104677)
peak_697	Pitpnc1 (+100436)
peak_698	Pitpnc1 (+94139)
peak_699	Axin2 (+21031)
peak_700	Abca5 (-16749)
peak_701	Kcnj16 (-218196)
peak_702	Kcnj16 (-172194)
peak_703	Slc39a11 (+274539)
peak_704	Sstr2 (-7476)
peak_705	Cdc42ep4 (-104761)
peak_706	Sdk2 (-127828)
peak_707	Rpl38 (-49503)
peak_708	Rpl38 (-40043)
peak_709	Smim5 (-19831)
peak_710	Sept9 (+91718)
peak_711	Cbx4 (-42896)
peak_712	Nptx1 (-24709)
peak_713	Aspscr1 (+14113)
peak_714	Dtnb (+53236)
peak_715	Adcy3 (+39794)
peak_716	Ncoa1 (+46105)
peak_717	Fam228a (+19287)
peak_718	Klhl29 (+165821)
peak_719	Klhl29 (-109742)
peak_720	Klhl29 (-859361)
peak_721	Apob (-866180)
peak_722	Apob (-175985)
peak_723	Ldah (-84085)
peak_724	Osr1 (+109152)
peak_725	Kcns3 (+118968)
peak_726	Rad51ap2 (+92542)
peak_727	Fam49a (+205548)
peak_728	Fam84a (-242577)
peak_729	Fam84a (-569862)
peak_730	Trib2 (+790798)
peak_731	Trib2 (+438533)
peak_732	Trib2 (+393376)
peak_733	Lpin1 (+174194)
peak_734	Hpcal1 (-28961)
peak_735	Gm10479 (-788648)
peak_736	Gm10479 (-42125)
peak_737	Mboat2 (-54514)
peak_738	Id2 (-650434)
peak_739	Sox11 (-561110)
peak_740	Tmem18 (+102180)
peak_741	Ccdc71l (+39655)
peak_742	Cdhr3 (-71371)
peak_743	Atxn7l1 (-58322)
