# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 5000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_2722	Dnm3 (+477)
Anti-GFP.mLb.mkD.sorted_peak_2732	Prrx1 (+268)
Anti-GFP.mLb.mkD.sorted_peak_2737	Kifap3 (+4072)
Anti-GFP.mLb.mkD.sorted_peak_2792	Rcsd1 (-769)
Anti-GFP.mLb.mkD.sorted_peak_2797	Cd247 (+927)
Anti-GFP.mLb.mkD.sorted_peak_2816	Mael (+200)
Anti-GFP.mLb.mkD.sorted_peak_2822	Pogk (+672)
Anti-GFP.mLb.mkD.sorted_peak_2851	Rxrg (+22205)
Anti-GFP.mLb.mkD.sorted_peak_2856	Lmx1a (+1042)
Anti-GFP.mLb.mkD.sorted_peak_2864	Pbx1 (+246)
Anti-GFP.mLb.mkD.sorted_peak_2870	Hsd17b7 (+345)
Anti-GFP.mLb.mkD.sorted_peak_2878	Nos1ap (+42)
Anti-GFP.mLb.mkD.sorted_peak_2879	Olfml2b (+17)
Anti-GFP.mLb.mkD.sorted_peak_2891	Fcrlb (+4966)
Anti-GFP.mLb.mkD.sorted_peak_2892	Fcgr2b (-2043)
Anti-GFP.mLb.mkD.sorted_peak_2917	Mpz (+9345)
Anti-GFP.mLb.mkD.sorted_peak_2921	Pcp4l1 (+779)
Anti-GFP.mLb.mkD.sorted_peak_2949	Klhdc9 (-228)
Anti-GFP.mLb.mkD.sorted_peak_2972	Nhlh1 (+3543)
Anti-GFP.mLb.mkD.sorted_peak_2992	Kcnj9 (+3270)
Anti-GFP.mLb.mkD.sorted_peak_2993	Kcnj10 (+113)
Anti-GFP.mLb.mkD.sorted_peak_3017	Dusp23 (+309)
Anti-GFP.mLb.mkD.sorted_peak_3024	Cadm3 (+234)
Anti-GFP.mLb.mkD.sorted_peak_3032	Grem2 (+247)
Anti-GFP.mLb.mkD.sorted_peak_3037	Rgs7 (-248)
Anti-GFP.mLb.mkD.sorted_peak_3044	Pld5 (-273)
Anti-GFP.mLb.mkD.sorted_peak_3060	Zbtb18 (+3883)
Anti-GFP.mLb.mkD.sorted_peak_3084	Kif26b (+624)
Anti-GFP.mLb.mkD.sorted_peak_3126	Coq8a (+938)
Anti-GFP.mLb.mkD.sorted_peak_3130	Psen2 (+2717)
Anti-GFP.mLb.mkD.sorted_peak_3148	Stum (-1069)
Anti-GFP.mLb.mkD.sorted_peak_3159	Mixl1 (-49)
Anti-GFP.mLb.mkD.sorted_peak_3181	Tmem63a (+798)
Anti-GFP.mLb.mkD.sorted_peak_3196	Cnih3 (+217)
Anti-GFP.mLb.mkD.sorted_peak_3197	Ccdc121 (+626)
Anti-GFP.mLb.mkD.sorted_peak_3255	Ccdc185 (+847)
Anti-GFP.mLb.mkD.sorted_peak_3256	Susd4 (-863)
Anti-GFP.mLb.mkD.sorted_peak_3278	1700056E22Rik (+41)
Anti-GFP.mLb.mkD.sorted_peak_3286	Hlx (+3311)
Anti-GFP.mLb.mkD.sorted_peak_3291	Marc1 (+1318)
Anti-GFP.mLb.mkD.sorted_peak_3298	Marc2 (-6652)
Anti-GFP.mLb.mkD.sorted_peak_3319	Slc30a10 (+921)
Anti-GFP.mLb.mkD.sorted_peak_3326	Tgfb2 (+1093)
Anti-GFP.mLb.mkD.sorted_peak_3341	Esrrg (-390396)
Anti-GFP.mLb.mkD.sorted_peak_3342	Esrrg (-345636)
Anti-GFP.mLb.mkD.sorted_peak_3344	Esrrg (+140)
Anti-GFP.mLb.mkD.sorted_peak_3357	Kctd3 (-6323)
