# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_492	Mdga1 (-43441)
peak_493	Cyp4f17 (-14083)
peak_494	Myo1f (+30516)
peak_495	Gtf2h4 (-8502)
peak_496	Gm8909 (+9413)
peak_497	Gm8909 (-10821)
peak_498	H2-T3 (-16203)
peak_499	H2-T3 (-25723)
peak_500	H2-M10.1 (+10782)
peak_501	Glyatl3 (+9489)
peak_502	Ankrd66 (+8713)
peak_503	Aars2 (+7860)
peak_504	Capn11 (+16948)
peak_505	1600014C23Rik (+9588)
peak_506	1600014C23Rik (-72497)
peak_507	Prph2 (-6331)
peak_508	Unc5cl (+192639)
peak_509	Sult1c2 (+41757)
peak_510	Zfp119b (+13034)
peak_511	Ptprs (+42175)
peak_512	Rfx2 (+12555)
peak_513	Akain1 (+36416)
peak_514	Tgif1 (+143969)
peak_515	Hnrnpll (+43447)
peak_516	Pkdcc (+61216)
peak_517	Eml4 (-28062)
peak_518	Cox7a2l (-33249)
peak_519	Zfp36l2 (+120728)
peak_520	Kcnk12 (-28665)
peak_521	Rpl36-ps4 (+13388)
peak_522	Fbxo11 (-186844)
peak_523	Ppp1r21 (-22002)
peak_524	Ston1 (+9274)
peak_525	Zfp438 (+171679)
peak_526	Zeb1 (+227860)
peak_527	Cetn1 (+64582)
peak_528	Npc1 (-32284)
peak_529	Celf4 (+163151)
peak_530	Epb41l4a (-96795)
peak_531	Cdc23 (-28083)
peak_532	Tmem173 (-11226)
peak_533	Cxxc5 (+43456)
peak_534	Psd2 (-26553)
peak_535	Psd2 (+104242)
peak_536	Zmat2 (+8250)
peak_537	Pcdhb1 (-46697)
peak_538	Pcdhb22 (+25797)
peak_539	Arap3 (-28039)
peak_540	0610009O20Rik (-9992)
peak_541	Tcerg1 (-43947)
peak_542	Gpr151 (-10226)
peak_543	Kcnn2 (-122079)
peak_544	Dtwd2 (+8759)
peak_545	Cep120 (+96476)
peak_546	Myoz3 (+10878)
peak_547	Pde6a (+38454)
peak_548	Fech (+60536)
peak_549	Zfp532 (-59807)
peak_550	Rax (+13929)
peak_551	Pmaip1 (+51908)
peak_552	Prelid3a (+7938)
peak_553	Ccdc68 (-130682)
peak_554	Mro (+71499)
peak_555	Acaa2 (+43908)
peak_556	Smad7 (+34067)
peak_557	Smad7 (+127364)
peak_558	Smad2 (-80281)
peak_559	Loxhd1 (+34330)
peak_560	Setbp1 (+353976)
peak_561	Adnp2 (-18221)
peak_562	Hsbp1l1 (+10297)
peak_563	Pqlc1 (+39807)
peak_564	Kcng2 (+41289)
peak_565	Zfp516 (+489331)
peak_566	1810055G02Rik (+10982)
peak_567	Kmt5b (-22939)
peak_568	Rbm4b (-17408)
peak_569	Npas4 (-12131)
peak_570	Drap1 (+9374)
peak_571	Map3k11 (+6731)
peak_572	Macrod1 (+10084)
peak_573	Otub1 (+47600)
peak_574	Otub1 (+39041)
peak_575	Best1 (+9243)
peak_576	Tmem132a (+10869)
peak_577	1700017D01Rik (+9633)
peak_578	Olfr1423 (+33227)
peak_579	Dtx4 (-16247)
peak_580	Tle4 (+329983)
peak_581	Dmrt3 (+11857)
peak_582	Gm815 (-40403)
peak_583	Ak3 (-19142)
peak_584	Ric1 (-20954)
peak_585	Rnls (-14)
peak_586	Tnks2 (-17029)
peak_587	Btaf1 (+92538)
peak_588	Myof (+9926)
peak_589	Cc2d2b (+13089)
peak_590	4933411K16Rik (+7778)
peak_591	Hps1 (-15443)
peak_592	Abcc2 (+65597)
peak_593	Scd2 (-44403)
peak_594	Scd2 (-10680)
peak_595	Scd1 (+18976)
peak_596	Hif1an (+77439)
peak_597	Pax2 (-62900)
peak_598	Lbx1 (+13210)
peak_599	Lbx1 (-6908)
peak_600	Btrc (-61566)
peak_601	Btrc (-46521)
peak_602	Poll (+18201)
peak_603	Neurl1a (+61583)
peak_604	Neurl1a (+74571)
peak_605	Sfr1 (+24176)
peak_606	Xpnpep1 (-11919)
peak_607	Add3 (-34739)
peak_608	Tectb (+27211)
peak_609	Trub1 (-41060)
peak_610	Commd3 (-85695)
peak_611	Spag6 (+68406)
peak_612	Otud1 (+252091)
peak_613	4931423N10Rik (+27193)
peak_614	Gtf3c5 (-10217)
peak_615	1700001O22Rik (+42380)
peak_616	Prrx2 (+19361)
peak_617	Ass1 (-9060)
peak_618	Golga2 (+29969)
peak_619	Zbtb43 (-81785)
peak_620	Lmx1b (+71350)
peak_621	Lmx1b (+23478)
peak_622	Lmx1b (-18741)
peak_623	Mvb12b (-78773)
peak_624	Ggta1 (+15727)
peak_625	Lhx2 (+28394)
peak_626	Nr4a2 (+348928)
peak_627	Gpd2 (-55177)
peak_628	Dapl1 (-136765)
peak_629	Baz2b (+88502)
peak_630	Ly75 (+6641)
peak_631	Bbs5 (-11497)
peak_632	Dlx2 (-34626)
peak_633	Gm11084 (-51334)
peak_634	Gpr155 (-50328)
peak_635	Chrna1 (+18859)
peak_636	Hnrnpa3 (-69418)
peak_637	Ppp1r1c (+139783)
peak_638	Chst1 (-69949)
peak_639	Gm27027 (+19914)
peak_640	Caprin1 (-21319)
peak_641	Pax6 (-60043)
peak_642	Meis2 (-10424)
peak_643	Gm14137 (+14846)
peak_644	Sptbn5 (-19215)
peak_645	Gm14085 (-17636)
peak_646	Shc4 (-8364)
peak_647	Tgm3 (-103205)
peak_648	Cpxm1 (+35341)
peak_649	Smox (-68818)
peak_650	Gpcpd1 (+62477)
peak_651	Snap25 (-34340)
peak_652	Dstn (-25396)
peak_653	Dzank1 (+68130)
peak_654	Naa20 (-18309)
peak_655	Zfp442 (+38830)
peak_656	Zfp345 (-40618)
peak_657	Gins1 (+24192)
peak_658	Nrsn2 (+7783)
peak_659	Sox12 (-7950)
peak_660	Cox4i2 (+9259)
peak_661	Dusp15 (+7970)
peak_662	Ccm2l (-12264)
peak_663	Ccm2l (+15252)
peak_664	Commd7 (+39623)
peak_665	Ggt7 (+8942)
peak_666	Dlgap4 (+35100)
peak_667	Dsn1 (-33479)
peak_668	Ctnnbl1 (+14728)
peak_669	D630003M21Rik (+21565)
peak_670	Dhx35 (+44823)
peak_671	Mafb (-84770)
peak_672	Chd6 (-68329)
peak_673	Srsf6 (-22886)
peak_674	Fitm2 (-9170)
peak_675	Pigt (+10190)
peak_676	Pigt (+24879)
peak_677	1700025C18Rik (-21863)
peak_678	Cdh22 (+32963)
peak_679	Cdh22 (+23324)
peak_680	Cdh22 (+19485)
peak_681	Eya2 (-12585)
peak_682	Prex1 (+138358)
peak_683	Prex1 (-33784)
peak_684	Ripor3 (+21746)
peak_685	Pard6b (+26148)
peak_686	Kcng1 (+18602)
peak_687	Kcng1 (+12059)
peak_688	Nfatc2 (+18799)
peak_689	Zfp217 (+88315)
peak_690	Zfp217 (-114821)
peak_691	Bcas1 (+138915)
peak_692	Cbln4 (+500756)
peak_693	Pck1 (+18969)
peak_694	Pmepa1 (-64775)
peak_695	Zfp831 (+30076)
peak_696	Gata5 (-51476)
peak_697	Zfp704 (-19960)
peak_698	Fabp5 (-38188)
peak_699	Gm5150 (-45558)
peak_700	Naaladl2 (-360547)
peak_701	Mccc1 (+26374)
peak_702	Mgarp (+18641)
peak_703	Foxo1 (+132426)
peak_704	Stoml3 (+37291)
peak_705	Supt20 (-59325)
peak_706	Mab21l1 (+194708)
peak_707	Lxn (+13949)
peak_708	Il12a (-13982)
peak_709	Il12a (+30942)
peak_710	Rapgef2 (+79250)
peak_711	Fgg (-12694)
peak_712	Sfrp2 (+23323)
peak_713	Trim2 (-63789)
peak_714	Pear1 (-9610)
peak_715	Rhbg (+13648)
peak_716	Hcn3 (+10789)
peak_717	Efna1 (-20033)
peak_718	Ube2q1 (+15148)
peak_719	Plekho1 (+10000)
peak_720	BC107364 (+16070)
peak_721	BC107364 (+11261)
peak_722	BC107364 (-12171)
peak_723	Polr3c (+7946)
peak_724	Prkab2 (+23223)
peak_725	Pde4dip (+20759)
peak_726	Atp1a1 (-108289)
peak_727	Lrig2 (+70139)
peak_728	Wnt2b (-6379)
peak_729	Chil5 (-19415)
peak_730	Lrif1 (-49180)
peak_731	S1pr1 (+72916)
peak_732	Alg14 (+31607)
peak_733	Alg14 (+63861)
peak_734	Bcar3 (+86207)
peak_735	Ndst3 (-1)
peak_736	Ank2 (+150849)
peak_737	Neurog2 (+7647)
peak_738	Neurog2 (+62345)
peak_739	Lef1 (-25568)
peak_740	Sgms2 (-19636)
peak_741	Cisd2 (+12953)
peak_742	Tspan5 (+134434)
peak_743	Hs2st1 (+123228)
peak_744	Sh3glb1 (-18099)
peak_745	Syde2 (-8822)
peak_746	Gipc2 (+65525)
peak_747	Zzz3 (+82065)
peak_748	Pigk (+49523)
peak_749	Fam110b (+49659)
peak_750	Chd7 (+174700)
peak_751	Clvs1 (-132657)
peak_752	Gdf6 (-73782)
peak_753	Virma (-30490)
peak_754	Rbm12b1 (-14940)
peak_755	Slc7a13 (-51899)
peak_756	Nkain3 (-48481)
peak_757	Manea (-372042)
peak_758	B4galt1 (+15292)
peak_759	Spink4 (-11416)
peak_760	Melk (+124390)
peak_761	Melk (+172654)
peak_762	Pax5 (+145081)
peak_763	Stra6l (+20025)
peak_764	Xpa (-6535)
peak_765	Nans (+17853)
peak_766	Alg2 (+37525)
peak_767	Abca1 (-58152)
peak_768	Rad23b (-55697)
peak_769	Musk (-25445)
peak_770	Tlr4 (-84460)
peak_771	NONE
peak_772	Tyrp1 (+30565)
peak_773	Lurap1l (+57054)
peak_774	Mpdz (-366632)
peak_775	Slc24a2 (-141925)
peak_776	4930553M12Rik (+317)
peak_777	Dmrta1 (-163807)
peak_778	Jun (-109348)
peak_779	Hook1 (+14824)
peak_780	Cyp2j8 (+43278)
peak_781	Ror1 (-53099)
peak_782	Jak1 (-27539)
peak_783	Gm12728 (-195934)
peak_784	Dhcr24 (-31610)
peak_785	Osbpl9 (+45795)
peak_786	Dmrta2 (+73246)
peak_787	Gm12830 (+258)
peak_788	Kif2c (-7499)
peak_789	Gm1661 (+9251)
peak_790	Tmem53 (+60891)
peak_791	Guca2b (-75027)
peak_792	Cited4 (+31201)
peak_793	Kcnq4 (+15674)
peak_794	Rlf (-16265)
peak_795	Bmp8b (-11891)
peak_796	Rragc (+55091)
peak_797	Rragc (+261040)
peak_798	Col8a2 (-8169)
peak_799	5730409E04Rik (+10735)
peak_800	5730409E04Rik (+17296)
peak_801	Smim12 (-29734)
