# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_212	Tubg2 (-11951), Tubg1 (+24018)
peak_213	Arl4d (-19329), Rdm1 (+18270)
peak_214	Tmub2 (-8574), Asb16 (+7879)
peak_215	Gpatch8 (-17404), Gm11627 (+5858)
peak_216	Meioc (-32510), Fzd2 (+28682)
peak_217	Crhr1 (-102837), Arf2 (+63147)
peak_218	Crhr1 (-59861), Arf2 (+106123)
peak_219	Itgb3 (-23777), Myl4 (+7238)
peak_220	Kpna2 (-19622), Bptf (+112759)
peak_221	Nol11 (-193275), Pitpnc1 (+88043)
peak_222	E030025P04Rik (-100511), Rgs9 (+53249)
peak_223	E030025P04Rik (-145462), Rgs9 (+8298)
peak_224	1700012B07Rik (-32416), Abca8b (+135383)
peak_225	Kcnj16 (-519383), Map2k6 (+49528)
peak_226	Slc39a11 (+364454), Sox9 (+419081)
peak_227	Grin2c (+9013), Tmem104 (+70743)
peak_228	Smim5 (-15363), Myo15b (+26197)
peak_229	Exoc7 (-13099), Foxj1 (+15566)
peak_230	Gm11733 (-89314), Sept9 (+195393)
peak_231	Gm11733 (-58348), Sept9 (+226359)
peak_232	Tnrc6c (-131172), Gm11733 (+39273)
peak_233	Tnrc6c (-58803), Gm11733 (+111642)
peak_234	Tmc6 (+19477), Tnrc6c (+106349)
peak_235	Cbx2 (-15140), Enpp7 (+19634)
peak_236	Fasn (-78106), Ccdc57 (+30219)
peak_237	Rab10 (+48283)
peak_238	Rab10 (-47822), Kif3c (-7399)
peak_239	Pomc (+28031), Efr3b (+55933)
peak_240	Ncoa1 (-64927), Itsn2 (-50899)
peak_241	Apob (-117349)
peak_242	Fam49a (+62109), Mycn (+617666)
peak_243	Mycn (+131092), Fam49a (+548683)
peak_244	Hpcal1 (-133300), Odc1 (+12762)
peak_245	Id2 (+13147), Kidins220 (+109068)
peak_246	Myt1l (-237497), Tssc1 (+539084)
peak_247	Tpo (+29569), Pxdn (+165019)
peak_248	ENSMUSG00000112187 (-128513), Fam110c (+38396)
peak_249	Cdhr3 (+63536), Sypl (+75448)
peak_250	Atxn7l1 (-183182), Cdhr3 (-26458)
peak_251	Lrrn3 (-79715)
peak_252	Gm43517 (+16084)
peak_253	Akap6 (-95088), Arhgap5 (+100279)
peak_254	Egln3 (-113077), Sptssa (+339636)
peak_255	Psma6 (-76960), Ppp2r3c (-18817)
peak_256	Nkx2-9 (-68123), Pax9 (-10360)
peak_257	Slc25a21 (-50258), Prps1l3 (-19511)
peak_258	Ttc6 (+390)
peak_259	Fbxo33 (-104837)
peak_260	Rps29 (+28253)
peak_261	Frmd6 (-41209), Tmx1 (+331210)
peak_262	Ccdc175 (-118821), Rtn1 (+105204)
peak_263	Tmem30b (+28712), Slc38a6 (+230901)
peak_264	Gm11042 (+31919), Syt16 (+286814)
peak_265	Gm11042 (-573)
peak_266	Esr2 (+171879), Syne2 (+187062)
peak_267	Esr2 (+24669), Syne2 (+334272)
peak_268	Erh (+17100), Galnt16 (+108455)
peak_269	Ccdc177 (+29737), Plekhd1 (+38359)
peak_270	Vrtn (-16739), Abcd4 (-8446)
peak_271	Zc2hc1c (+7992), Nek9 (+42779)
peak_272	Esrrb (-116034), Gpatch2l (+63752)
peak_273	Psmc1 (-137327), Kcnk13 (+8302)
