geneid	name2
ENSMUST00000027128	Ccdc150
ENSMUST00000179030	Ankrd44
ENSMUST00000044359	Ankrd44
ENSMUST00000027121	Rftn2
ENSMUST00000114423	Boll
ENSMUST00000087585	Boll
ENSMUST00000193928	Gm38056
ENSMUST00000189293	9130227L01Rik
ENSMUST00000042857	Satb2
ENSMUST00000114415	Satb2
ENSMUST00000177424	Satb2
ENSMUST00000185204	9130024F11Rik
ENSMUST00000027114	Maip1
ENSMUST00000163239	Spats2l
ENSMUST00000170139	Spats2l
ENSMUST00000164302	Spats2l
ENSMUST00000167085	Spats2l
ENSMUST00000169772	Spats2l
ENSMUST00000001027	Aox1
ENSMUST00000040999	Aox3
ENSMUST00000114366	Aox2
ENSMUST00000087521	Nif3l1
ENSMUST00000114337	Nif3l1
ENSMUST00000171597	Nif3l1
ENSMUST00000027193	Ndufb3
ENSMUST00000114296	Stradb
ENSMUST00000027185	Stradb
ENSMUST00000094917	Tmem237
ENSMUST00000087475	Tmem237
ENSMUST00000186794	Tmem237
ENSMUST00000027172	Ica1l
ENSMUST00000191251	Ica1l
ENSMUST00000160834	Nbeal1
ENSMUST00000052332	Abi2
ENSMUST00000188594	Abi2
ENSMUST00000188618	Abi2
ENSMUST00000189980	Abi2
ENSMUST00000187709	Abi2
ENSMUST00000140485	Raph1
ENSMUST00000027168	Raph1
ENSMUST00000090293	Raph1
ENSMUST00000075144	Nrp2
ENSMUST00000102822	Nrp2
ENSMUST00000027112	Nrp2
ENSMUST00000114155	Nrp2
ENSMUST00000063594	Nrp2
ENSMUST00000114157	Nrp2
ENSMUST00000027111	Ndufs1
ENSMUST00000168099	Ndufs1
ENSMUST00000114132	Zdbf2
ENSMUST00000239483	Zdbf2
ENSMUST00000029025	Zdbf2
ENSMUST00000087374	Adam23
ENSMUST00000114103	Adam23
ENSMUST00000114107	Adam23
ENSMUST00000114094	Mdh1b
ENSMUST00000114086	Klf7
ENSMUST00000055001	Klf7
ENSMUST00000190863	Gm28981
ENSMUST00000186895	Gm28982
ENSMUST00000097713	Plekhm3
ENSMUST00000081154	Pikfyve
ENSMUST00000097707	Pikfyve
ENSMUST00000114017	Map2
ENSMUST00000114015	Map2
ENSMUST00000114018	Map2
ENSMUST00000024639	Map2
ENSMUST00000114013	Map2
ENSMUST00000147494	Gm10558
ENSMUST00000061620	Unc80
ENSMUST00000212557	Unc80
ENSMUST00000027157	Rpe
ENSMUST00000113995	Rpe
ENSMUST00000027153	Acadl
ENSMUST00000027146	Ikzf2
ENSMUST00000190771	Ikzf2
ENSMUST00000187184	Ikzf2
ENSMUST00000188110	Ikzf2
ENSMUST00000190855	Ikzf2
ENSMUST00000191262	Ikzf2
ENSMUST00000113940	Spag16
ENSMUST00000053922	Vwc2l
ENSMUST00000161937	Vwc2l
ENSMUST00000162182	Vwc2l
ENSMUST00000027393	Bard1
ENSMUST00000027384	Atic
ENSMUST00000047786	Marchf4
ENSMUST00000047615	Smarcal1
ENSMUST00000152225	Smarcal1
ENSMUST00000188793	1700027A15Rik
ENSMUST00000190578	Gm29185
ENSMUST00000189178	Gm29186
ENSMUST00000189514	6030407O03Rik
ENSMUST00000188600	Gm29183
ENSMUST00000169786	Tns1
ENSMUST00000187584	Tns1
ENSMUST00000191104	Tns1
ENSMUST00000187691	Tns1
ENSMUST00000239451	Tns1
ENSMUST00000212888	Tns1
ENSMUST00000027370	Pnkd
ENSMUST00000087226	Pnkd
ENSMUST00000113737	Zfp142
ENSMUST00000027315	Zfp142
ENSMUST00000066986	Zfp142
ENSMUST00000152855	Nhej1
ENSMUST00000027409	Des
ENSMUST00000191156	Gm816
ENSMUST00000027451	Epha4
ENSMUST00000188797	Epha4
ENSMUST00000004994	Pax3
ENSMUST00000087086	Pax3
ENSMUST00000036172	Sgpp2
ENSMUST00000170511	BC035947
ENSMUST00000113524	Mogat1
ENSMUST00000012331	Mogat1
ENSMUST00000189296	Gm29536
ENSMUST00000027467	Serpine2
ENSMUST00000189139	1700016L21Rik
ENSMUST00000187774	Dock10
ENSMUST00000190983	Dock10
ENSMUST00000137862	Nyap2
ENSMUST00000123720	Nyap2
ENSMUST00000068275	Nyap2
ENSMUST00000113494	Nyap2
ENSMUST00000123285	Nyap2
ENSMUST00000027322	Rhbdd1
ENSMUST00000140020	Rhbdd1
ENSMUST00000087050	Col4a4
ENSMUST00000113457	Col4a3
ENSMUST00000181720	C430014B12Rik
ENSMUST00000160953	Sphkap
ENSMUST00000168574	Pid1
ENSMUST00000176559	Pid1
ENSMUST00000176720	Pid1
ENSMUST00000175996	Pid1
ENSMUST00000176822	Pid1
ENSMUST00000177458	Pid1
ENSMUST00000049126	Dner
ENSMUST00000027421	Trip12
ENSMUST00000186465	Trip12
ENSMUST00000186648	Trip12
ENSMUST00000161267	C130026I21Rik
ENSMUST00000162421	C130026I21Rik
ENSMUST00000161923	Gm16025
ENSMUST00000093508	Sp110
ENSMUST00000159122	A630001G21Rik
ENSMUST00000064788	A630001G21Rik
ENSMUST00000027432	Psmd1
ENSMUST00000113309	Armc9
ENSMUST00000027434	Armc9
ENSMUST00000131412	Armc9
ENSMUST00000192517	Gm37022
ENSMUST00000027472	Efhd1
ENSMUST00000027475	Gigyf2
ENSMUST00000172794	Gigyf2
ENSMUST00000174501	Gigyf2
ENSMUST00000068681	Ngef
ENSMUST00000169754	Inpp5d
ENSMUST00000042275	Inpp5d
